churn_at_dt,churn probability,prediction,employee_cluster
1.0,0.08,0.0,7
1.0,0.15,0.0,7
0.0,0.6366666666666666,1.0,7
0.0,0.66,1.0,7
1.0,0.68,1.0,7
0.0,0.45,0.0,7
0.0,0.7888095238095238,1.0,7
0.0,0.31,0.0,7
1.0,0.57,1.0,7
0.0,0.006666666666666666,0.0,7
1.0,0.5776666666666667,1.0,7
0.0,0.33,0.0,7
1.0,0.81,1.0,7
1.0,0.37,0.0,7
0.0,0.24,0.0,7
0.0,0.4989913419913418,0.0,7
1.0,0.41,0.0,7
0.0,0.7358959235209237,1.0,7
1.0,0.49,0.0,7
0.0,0.82,1.0,7
1.0,0.75,1.0,7
1.0,0.66,1.0,7
0.0,0.54,1.0,7
0.0,0.6241413308913308,1.0,7
0.0,0.23,0.0,7
1.0,0.66,1.0,7
0.0,0.6665342712842712,1.0,7
0.0,0.83,1.0,7
1.0,0.94,1.0,7
0.0,0.2,0.0,7
1.0,0.15,0.0,7
1.0,0.1,0.0,7
0.0,0.6025,1.0,7
1.0,0.49,0.0,7
1.0,0.44,0.0,7
1.0,0.25,0.0,7
0.0,0.31,0.0,7
1.0,0.25,0.0,7
0.0,0.58,1.0,7
0.0,0.42,0.0,7
1.0,0.24,0.0,7
0.0,0.56,1.0,7
0.0,0.28,0.0,7
1.0,0.64,1.0,7
0.0,0.61,1.0,7
1.0,0.6,1.0,7
1.0,0.67,1.0,7
1.0,0.64,1.0,7
0.0,0.22,0.0,7
1.0,0.49,0.0,7
0.0,0.51,1.0,7
1.0,0.38625,0.0,7
0.0,0.41,0.0,7
0.0,0.38,0.0,7
0.0,0.41,0.0,7
0.0,0.6821666666666667,1.0,7
0.0,0.39,0.0,7
1.0,0.51,1.0,7
1.0,0.8,1.0,7
0.0,0.26684313725490194,0.0,7
0.0,0.22,0.0,7
1.0,0.46,0.0,7
0.0,0.34342118992118986,0.0,7
0.0,0.19,0.0,7
1.0,0.32,0.0,7
1.0,0.66,1.0,7
1.0,0.335,0.0,7
0.0,0.9458333333333333,1.0,7
0.0,0.42,0.0,7
0.0,0.86,1.0,7
1.0,0.46,0.0,7
1.0,0.59,1.0,7
0.0,0.31,0.0,7
0.0,0.19,0.0,7
1.0,0.04,0.0,7
0.0,0.77,1.0,7
0.0,0.31,0.0,7
0.0,0.27,0.0,7
0.0,0.06530009034652995,0.0,7
0.0,0.42,0.0,7
0.0,0.42,0.0,7
0.0,0.9,1.0,7
0.0,0.514,1.0,7
0.0,0.23,0.0,7
1.0,0.1766428571428571,0.0,7
1.0,0.1,0.0,7
1.0,0.17,0.0,7
0.0,0.08,0.0,7
1.0,0.41,0.0,7
0.0,0.67,1.0,7
1.0,0.6826739926739926,1.0,7
0.0,0.71,1.0,7
0.0,0.26,0.0,7
0.0,0.36,0.0,7
1.0,0.3316904761904761,0.0,7
1.0,0.32,0.0,7
1.0,0.87,1.0,7
0.0,0.2,0.0,7
1.0,0.92,1.0,7
0.0,0.26,0.0,7
0.0,0.19,0.0,7
0.0,0.32625,0.0,7
0.0,0.71,1.0,7
1.0,0.6,1.0,7
1.0,0.24,0.0,7
0.0,0.28,0.0,7
1.0,0.27,0.0,7
1.0,0.64,1.0,7
1.0,0.66,1.0,7
1.0,0.27,0.0,7
1.0,0.72,1.0,7
0.0,0.14,0.0,7
0.0,0.07,0.0,7
0.0,0.48,0.0,7
0.0,0.35,0.0,7
1.0,0.35,0.0,7
1.0,0.32,0.0,7
0.0,0.57,1.0,7
1.0,0.14,0.0,7
0.0,0.24917460317460308,0.0,7
1.0,0.2884016538747591,0.0,7
0.0,0.3,0.0,7
1.0,0.64,1.0,7
0.0,0.12,0.0,7
1.0,0.2719051355290586,0.0,7
1.0,0.44,0.0,7
1.0,0.76,1.0,7
0.0,0.47,0.0,7
0.0,0.29,0.0,7
1.0,0.35,0.0,7
1.0,0.0,0.0,7
1.0,0.5,0.0,7
0.0,0.58,1.0,7
0.0,0.45,0.0,7
1.0,0.31,0.0,7
1.0,0.96,1.0,7
1.0,0.48,0.0,7
0.0,0.04570202020202021,0.0,7
0.0,0.33,0.0,7
1.0,0.11,0.0,7
0.0,0.28,0.0,7
0.0,0.29849999999999993,0.0,7
0.0,0.45,0.0,7
1.0,0.6553571428571427,1.0,7
0.0,0.18,0.0,7
0.0,0.27,0.0,7
1.0,0.37,0.0,7
1.0,0.3,0.0,7
0.0,0.27,0.0,7
0.0,0.28,0.0,7
0.0,0.62,1.0,7
0.0,0.13,0.0,7
0.0,0.56,1.0,7
0.0,0.6172777777777778,1.0,7
1.0,0.37,0.0,7
0.0,0.39,0.0,7
1.0,0.56,1.0,7
0.0,0.3,0.0,7
0.0,0.011944444444444445,0.0,7
0.0,0.36530952380952386,0.0,7
1.0,0.45,0.0,7
1.0,0.13,0.0,7
0.0,0.41142857142857137,0.0,7
1.0,0.71,1.0,7
0.0,0.4516666666666667,0.0,7
1.0,0.58,1.0,7
1.0,0.4,0.0,7
0.0,0.9471173271173272,1.0,7
1.0,0.39,0.0,7
0.0,0.44,0.0,7
0.0,0.18,0.0,7
1.0,0.76,1.0,7
0.0,0.9245528156054473,1.0,7
0.0,0.0,0.0,7
1.0,0.43,0.0,7
0.0,0.51,1.0,7
0.0,0.43,0.0,7
0.0,0.54,1.0,7
1.0,0.58,1.0,7
0.0,0.63,1.0,7
1.0,0.19,0.0,7
0.0,0.17096732739225,0.0,7
1.0,0.52,1.0,7
1.0,0.374,0.0,7
0.0,0.5681904761904762,1.0,7
1.0,0.54,1.0,7
1.0,0.86,1.0,7
0.0,0.16,0.0,7
1.0,0.0,0.0,7
0.0,0.23,0.0,7
1.0,0.48,0.0,7
1.0,0.26749999999999996,0.0,7
1.0,0.21,0.0,7
1.0,0.06,0.0,7
1.0,0.5416666666666666,1.0,7
1.0,0.9,1.0,7
0.0,0.33,0.0,7
1.0,0.27,0.0,7
0.0,0.28,0.0,7
1.0,0.11,0.0,7
1.0,0.7447142857142857,1.0,7
0.0,0.32,0.0,7
0.0,0.26,0.0,7
1.0,0.7,1.0,7
1.0,0.62,1.0,7
1.0,0.2225,0.0,7
0.0,0.39,0.0,7
0.0,0.17952380952380953,0.0,7
0.0,0.04,0.0,7
1.0,0.66,1.0,7
1.0,0.45,0.0,7
1.0,0.67,1.0,7
0.0,0.36,0.0,7
0.0,0.41,0.0,7
1.0,0.35,0.0,7
1.0,0.5,0.0,7
0.0,0.29,0.0,7
1.0,0.7,1.0,7
0.0,0.1,0.0,7
1.0,0.54,1.0,7
0.0,0.26,0.0,7
1.0,0.31,0.0,7
1.0,0.33,0.0,7
1.0,0.36,0.0,7
1.0,0.5341666666666667,1.0,7
0.0,0.19644744880312248,0.0,7
1.0,0.24742735042735034,0.0,7
0.0,0.57,1.0,7
0.0,0.61,1.0,7
1.0,0.34,0.0,7
1.0,0.56,1.0,7
0.0,0.13,0.0,7
1.0,0.31,0.0,7
0.0,0.27,0.0,7
0.0,0.12,0.0,7
0.0,0.07704993432623165,0.0,7
1.0,0.34,0.0,7
0.0,0.39,0.0,7
0.0,0.34,0.0,7
1.0,0.3721309523809524,0.0,7
0.0,0.43,0.0,7
0.0,0.0825,0.0,7
0.0,0.72,1.0,7
0.0,0.46,0.0,7
0.0,0.17,0.0,7
0.0,0.17,0.0,7
1.0,0.66,1.0,7
1.0,0.25,0.0,7
1.0,0.7,1.0,7
0.0,0.38695508377114346,0.0,7
0.0,0.59,1.0,7
0.0,0.665,1.0,7
0.0,0.1,0.0,7
0.0,0.17,0.0,7
0.0,0.55,1.0,7
1.0,0.67,1.0,7
1.0,0.52,1.0,7
0.0,0.5444642857142858,1.0,7
0.0,0.33,0.0,7
0.0,0.22,0.0,7
0.0,0.1,0.0,7
1.0,0.45,0.0,7
0.0,0.39,0.0,7
1.0,0.5,0.0,7
0.0,0.07,0.0,7
0.0,0.31,0.0,7
0.0,0.47,0.0,7
1.0,0.99,1.0,7
0.0,0.72,1.0,7
0.0,0.47,0.0,7
1.0,0.28,0.0,7
0.0,0.24,0.0,7
1.0,0.45,0.0,7
1.0,0.31,0.0,7
1.0,0.61,1.0,7
0.0,0.36,0.0,7
0.0,0.4,0.0,7
1.0,0.52,1.0,7
1.0,0.15656199677938806,0.0,7
1.0,0.23,0.0,7
1.0,0.47,0.0,7
1.0,0.62,1.0,7
1.0,0.89,1.0,7
0.0,0.13,0.0,7
0.0,0.46,0.0,7
1.0,0.5760000000000001,1.0,7
0.0,0.43,0.0,7
0.0,0.28,0.0,7
0.0,0.2,0.0,7
0.0,0.07,0.0,7
0.0,0.28,0.0,7
0.0,0.27,0.0,7
0.0,0.6,1.0,7
