churn_at_dt,churn probability,prediction,employee_cluster
1.0,0.0,0.0,1
0.0,0.26,0.0,1
1.0,0.35,0.0,1
0.0,0.04,0.0,1
0.0,0.13,0.0,1
0.0,0.46,0.0,1
1.0,0.53,1.0,1
0.0,0.06333333333333334,0.0,1
0.0,0.425,0.0,1
0.0,0.12,0.0,1
0.0,0.08,0.0,1
0.0,0.056666666666666664,0.0,1
0.0,0.12285714285714286,0.0,1
0.0,0.22,0.0,1
0.0,0.26,0.0,1
1.0,0.2,0.0,1
0.0,0.04,0.0,1
0.0,0.32,0.0,1
0.0,0.07,0.0,1
1.0,0.31,0.0,1
0.0,0.29,0.0,1
0.0,0.38,0.0,1
0.0,0.015,0.0,1
0.0,0.36,0.0,1
0.0,0.54,1.0,1
0.0,0.19,0.0,1
0.0,0.13,0.0,1
0.0,0.19,0.0,1
0.0,0.03,0.0,1
1.0,0.26,0.0,1
0.0,0.35,0.0,1
0.0,0.27,0.0,1
0.0,0.05837301587301588,0.0,1
0.0,0.17,0.0,1
0.0,0.09,0.0,1
1.0,0.16,0.0,1
0.0,0.22,0.0,1
0.0,0.12,0.0,1
1.0,0.16,0.0,1
0.0,0.045,0.0,1
0.0,0.13,0.0,1
0.0,0.13,0.0,1
0.0,0.13,0.0,1
0.0,0.19,0.0,1
0.0,0.13,0.0,1
1.0,0.19,0.0,1
0.0,0.14733405483405482,0.0,1
0.0,0.11,0.0,1
0.0,0.13,0.0,1
0.0,0.15,0.0,1
0.0,0.0,0.0,1
0.0,0.19,0.0,1
0.0,0.425,0.0,1
0.0,0.15,0.0,1
0.0,0.4,0.0,1
0.0,0.23,0.0,1
0.0,0.25866666666666666,0.0,1
0.0,0.26,0.0,1
1.0,0.26,0.0,1
0.0,0.05,0.0,1
0.0,0.26,0.0,1
1.0,0.02,0.0,1
0.0,0.28350000000000003,0.0,1
1.0,0.33,0.0,1
1.0,0.05,0.0,1
1.0,0.02,0.0,1
1.0,0.12,0.0,1
0.0,0.31,0.0,1
0.0,0.16,0.0,1
1.0,0.13,0.0,1
0.0,0.28248809523809515,0.0,1
0.0,0.47,0.0,1
0.0,0.28,0.0,1
1.0,0.0,0.0,1
0.0,0.08,0.0,1
0.0,0.36,0.0,1
0.0,0.25,0.0,1
0.0,0.24,0.0,1
0.0,0.34,0.0,1
0.0,0.41,0.0,1
0.0,0.43083333333333335,0.0,1
0.0,0.29147600413002894,0.0,1
0.0,0.13,0.0,1
0.0,0.12,0.0,1
1.0,0.22,0.0,1
0.0,0.0,0.0,1
0.0,0.02,0.0,1
0.0,0.1,0.0,1
0.0,0.14176190476190478,0.0,1
0.0,0.37,0.0,1
1.0,0.14,0.0,1
1.0,0.17,0.0,1
1.0,0.5,0.0,1
0.0,0.09,0.0,1
0.0,0.32,0.0,1
0.0,0.05,0.0,1
1.0,0.34,0.0,1
1.0,0.31,0.0,1
0.0,0.13,0.0,1
1.0,0.17,0.0,1
0.0,0.13428571428571429,0.0,1
0.0,0.37,0.0,1
0.0,0.24,0.0,1
0.0,0.19,0.0,1
0.0,0.17,0.0,1
0.0,0.06,0.0,1
0.0,0.19,0.0,1
1.0,0.4953333333333333,0.0,1
0.0,0.21,0.0,1
0.0,0.18,0.0,1
0.0,0.2,0.0,1
1.0,0.09,0.0,1
0.0,0.17,0.0,1
0.0,0.45,0.0,1
0.0,0.01,0.0,1
1.0,0.32,0.0,1
0.0,0.09,0.0,1
0.0,0.0,0.0,1
0.0,0.08,0.0,1
0.0,0.17,0.0,1
0.0,0.08,0.0,1
0.0,0.18,0.0,1
0.0,0.66,1.0,1
0.0,0.44,0.0,1
1.0,0.31,0.0,1
0.0,0.13666666666666666,0.0,1
0.0,0.21,0.0,1
0.0,0.05,0.0,1
0.0,0.0,0.0,1
0.0,0.25,0.0,1
0.0,0.28,0.0,1
0.0,0.19,0.0,1
0.0,0.16,0.0,1
0.0,0.27,0.0,1
0.0,0.38,0.0,1
1.0,0.36,0.0,1
1.0,0.12,0.0,1
0.0,0.19,0.0,1
1.0,0.1,0.0,1
0.0,0.15,0.0,1
0.0,0.08,0.0,1
1.0,0.25,0.0,1
1.0,0.28,0.0,1
0.0,0.44,0.0,1
0.0,0.11,0.0,1
0.0,0.08,0.0,1
0.0,0.13,0.0,1
1.0,0.5086666666666667,1.0,1
0.0,0.09,0.0,1
0.0,0.04,0.0,1
0.0,0.2,0.0,1
1.0,0.42,0.0,1
1.0,0.36,0.0,1
0.0,0.08,0.0,1
0.0,0.36,0.0,1
0.0,0.28,0.0,1
0.0,0.01,0.0,1
1.0,0.32,0.0,1
0.0,0.2,0.0,1
0.0,0.31,0.0,1
0.0,0.3,0.0,1
0.0,0.15,0.0,1
0.0,0.43,0.0,1
0.0,0.01,0.0,1
0.0,0.38,0.0,1
0.0,0.1,0.0,1
0.0,0.18,0.0,1
1.0,0.31,0.0,1
0.0,0.08,0.0,1
0.0,0.35,0.0,1
0.0,0.19,0.0,1
1.0,0.13,0.0,1
1.0,0.2,0.0,1
0.0,0.11,0.0,1
0.0,0.83,1.0,1
0.0,0.06,0.0,1
0.0,0.24,0.0,1
0.0,0.07,0.0,1
0.0,0.25,0.0,1
1.0,0.46,0.0,1
0.0,0.12,0.0,1
0.0,0.59,1.0,1
1.0,0.11,0.0,1
1.0,0.0,0.0,1
0.0,0.26,0.0,1
0.0,0.13125,0.0,1
0.0,0.23154581529581525,0.0,1
0.0,0.07,0.0,1
0.0,0.18,0.0,1
0.0,0.13,0.0,1
0.0,0.17,0.0,1
1.0,0.33,0.0,1
0.0,0.4798690476190477,0.0,1
0.0,0.2,0.0,1
0.0,0.46,0.0,1
0.0,0.14,0.0,1
0.0,0.43,0.0,1
0.0,0.15,0.0,1
1.0,0.45,0.0,1
0.0,0.08,0.0,1
0.0,0.26,0.0,1
0.0,0.18,0.0,1
