churn_at_dt,churn probability,prediction,employee_cluster
1.0,0.37,0.0,1
1.0,0.69,1.0,1
1.0,0.93,1.0,1
0.0,0.64,1.0,1
1.0,0.64,1.0,1
1.0,0.83,1.0,1
1.0,0.78,1.0,1
0.0,0.8488095238095238,1.0,1
1.0,0.8276071428571429,1.0,1
1.0,0.31999999999999995,0.0,1
1.0,0.58,1.0,1
1.0,0.36,0.0,1
0.0,0.15735714285714283,0.0,1
0.0,0.66,1.0,1
0.0,0.55,1.0,1
1.0,0.49,0.0,1
0.0,0.43,0.0,1
1.0,0.86,1.0,1
0.0,0.11,0.0,1
1.0,0.6615000000000001,1.0,1
1.0,0.66,1.0,1
1.0,0.63,1.0,1
0.0,0.43044444444444446,0.0,1
1.0,0.64,1.0,1
1.0,0.55,1.0,1
0.0,0.6,1.0,1
0.0,0.65,1.0,1
1.0,0.58,1.0,1
1.0,0.58,1.0,1
1.0,0.8,1.0,1
1.0,0.88,1.0,1
1.0,0.35,0.0,1
1.0,0.13816666666666666,0.0,1
1.0,0.7,1.0,1
0.0,0.69,1.0,1
1.0,0.76,1.0,1
1.0,0.64,1.0,1
1.0,0.33,0.0,1
1.0,0.36,0.0,1
0.0,0.57,1.0,1
1.0,0.98,1.0,1
1.0,0.63,1.0,1
1.0,0.32,0.0,1
1.0,0.71,1.0,1
1.0,0.45,0.0,1
1.0,0.85,1.0,1
1.0,0.15557270507270507,0.0,1
0.0,0.81,1.0,1
0.0,0.42,0.0,1
0.0,0.43,0.0,1
0.0,0.1467106782106782,0.0,1
1.0,0.99,1.0,1
0.0,0.64,1.0,1
0.0,0.4,0.0,1
1.0,0.66,1.0,1
0.0,0.64,1.0,1
1.0,0.88,1.0,1
1.0,0.67,1.0,1
1.0,0.6,1.0,1
0.0,0.36,0.0,1
1.0,0.48,0.0,1
1.0,0.39,0.0,1
1.0,0.585,1.0,1
1.0,0.57,1.0,1
1.0,0.48,0.0,1
1.0,0.16,0.0,1
1.0,0.92,1.0,1
0.0,0.72,1.0,1
1.0,0.99,1.0,1
1.0,0.41,0.0,1
0.0,0.758269841269841,1.0,1
1.0,0.77,1.0,1
0.0,0.55,1.0,1
1.0,0.30945356471014357,0.0,1
0.0,0.23,0.0,1
0.0,0.59,1.0,1
1.0,0.57,1.0,1
1.0,0.72,1.0,1
1.0,0.82,1.0,1
0.0,0.67,1.0,1
1.0,0.884,1.0,1
0.0,0.5613753534047651,1.0,1
0.0,0.56,1.0,1
0.0,0.23,0.0,1
1.0,0.56,1.0,1
0.0,0.18,0.0,1
1.0,0.47,0.0,1
0.0,0.5,0.0,1
1.0,0.5958809523809524,1.0,1
1.0,0.79,1.0,1
1.0,0.46,0.0,1
1.0,0.42,0.0,1
1.0,0.55,1.0,1
0.0,0.67,1.0,1
0.0,0.87,1.0,1
1.0,0.4,0.0,1
1.0,0.7,1.0,1
1.0,0.87,1.0,1
1.0,0.42,0.0,1
1.0,0.38375,0.0,1
0.0,0.8875000000000002,1.0,1
1.0,0.56,1.0,1
0.0,0.68,1.0,1
0.0,0.72,1.0,1
1.0,0.31,0.0,1
1.0,0.37,0.0,1
0.0,0.47,0.0,1
1.0,0.7757499999999999,1.0,1
0.0,0.26,0.0,1
1.0,0.91,1.0,1
