churn_at_dt,churn probability,prediction,employee_cluster
1.0,0.3,0.0,1
1.0,0.48,0.0,1
1.0,0.65,1.0,1
0.0,0.62,1.0,1
1.0,0.66,1.0,1
1.0,0.86,1.0,1
1.0,0.77,1.0,1
0.0,0.73,1.0,1
1.0,0.8094047619047618,1.0,1
0.0,0.3975,0.0,1
1.0,0.33,0.0,1
0.0,0.35,0.0,1
0.0,0.19554761904761903,0.0,1
0.0,0.62,1.0,1
0.0,0.41,0.0,1
1.0,0.49,0.0,1
0.0,0.28,0.0,1
1.0,0.8,1.0,1
0.0,0.21,0.0,1
1.0,0.5658333333333333,1.0,1
1.0,0.69,1.0,1
1.0,0.58,1.0,1
0.0,0.066,0.0,1
1.0,0.62,1.0,1
1.0,0.66,1.0,1
0.0,0.61,1.0,1
0.0,0.34,0.0,1
1.0,0.49,0.0,1
1.0,0.51,1.0,1
1.0,0.6,1.0,1
1.0,0.79,1.0,1
1.0,0.44,0.0,1
1.0,0.1875,0.0,1
1.0,0.32,0.0,1
0.0,0.5,0.0,1
1.0,0.82,1.0,1
1.0,0.46,0.0,1
1.0,0.33,0.0,1
1.0,0.33,0.0,1
0.0,0.56,1.0,1
1.0,0.93,1.0,1
0.0,0.32,0.0,1
0.0,0.38,0.0,1
1.0,0.43,0.0,1
1.0,0.45,0.0,1
1.0,0.82,1.0,1
1.0,0.1641927239427239,0.0,1
0.0,0.79,1.0,1
0.0,0.33,0.0,1
0.0,0.41,0.0,1
0.0,0.13423340548340543,0.0,1
1.0,0.51,1.0,1
0.0,0.54,1.0,1
0.0,0.36,0.0,1
1.0,0.63,1.0,1
0.0,0.49,0.0,1
1.0,0.7375,1.0,1
0.0,0.4,0.0,1
1.0,0.49,0.0,1
0.0,0.24,0.0,1
1.0,0.42,0.0,1
1.0,0.45,0.0,1
0.0,0.5633333333333334,1.0,1
1.0,0.66,1.0,1
1.0,0.38,0.0,1
1.0,0.16,0.0,1
1.0,0.62,1.0,1
0.0,0.69,1.0,1
1.0,0.99,1.0,1
1.0,0.27,0.0,1
0.0,0.46932539682539676,0.0,1
1.0,0.66,1.0,1
0.0,0.6,1.0,1
1.0,0.3185410626954742,0.0,1
0.0,0.1,0.0,1
0.0,0.53,1.0,1
0.0,0.43,0.0,1
0.0,0.64,1.0,1
1.0,0.79,1.0,1
0.0,0.69,1.0,1
1.0,0.8833333333333333,1.0,1
0.0,0.5365148771936697,1.0,1
0.0,0.44,0.0,1
0.0,0.23,0.0,1
1.0,0.63,1.0,1
0.0,0.2,0.0,1
0.0,0.48,0.0,1
0.0,0.48,0.0,1
1.0,0.30071428571428577,0.0,1
0.0,0.46,0.0,1
1.0,0.38,0.0,1
1.0,0.3,0.0,1
1.0,0.46,0.0,1
0.0,0.37,0.0,1
0.0,0.77,1.0,1
1.0,0.3,0.0,1
1.0,0.44,0.0,1
1.0,0.91,1.0,1
1.0,0.29,0.0,1
1.0,0.3466666666666666,0.0,1
0.0,0.715,1.0,1
1.0,0.6,1.0,1
0.0,0.54,1.0,1
0.0,0.7,1.0,1
1.0,0.31,0.0,1
1.0,0.35,0.0,1
0.0,0.42,0.0,1
1.0,0.7613333333333334,1.0,1
0.0,0.36,0.0,1
1.0,0.89,1.0,1
0.0,0.63,1.0,1
1.0,0.23,0.0,1
0.0,0.24,0.0,1
0.0,0.78,1.0,1
0.0,0.18,0.0,1
1.0,0.78,1.0,1
1.0,0.19,0.0,1
0.0,0.8817738095238097,1.0,1
0.0,0.43,0.0,1
1.0,0.35,0.0,1
0.0,0.29,0.0,1
1.0,0.74,1.0,1
1.0,0.77,1.0,1
1.0,0.48,0.0,1
1.0,0.56,1.0,1
0.0,0.498,0.0,1
1.0,0.55,1.0,1
0.0,0.65,1.0,1
0.0,0.72,1.0,1
0.0,0.48,0.0,1
0.0,0.48,0.0,1
0.0,0.43,0.0,1
0.0,0.62,1.0,1
1.0,0.38,0.0,1
0.0,0.7,1.0,1
1.0,0.57,1.0,1
1.0,0.56,1.0,1
0.0,0.71,1.0,1
1.0,0.57,1.0,1
1.0,0.5,0.0,1
1.0,0.58,1.0,1
1.0,0.84,1.0,1
1.0,0.4533333333333333,0.0,1
1.0,0.66,1.0,1
0.0,0.45,0.0,1
0.0,0.88,1.0,1
1.0,0.26,0.0,1
1.0,0.4518095238095238,0.0,1
0.0,0.42,0.0,1
0.0,0.285,0.0,1
0.0,0.43666666666666665,0.0,1
1.0,0.91,1.0,1
1.0,0.77,1.0,1
1.0,0.8,1.0,1
1.0,0.94,1.0,1
0.0,0.59,1.0,1
0.0,0.33133333333333326,0.0,1
1.0,0.68,1.0,1
0.0,0.5,0.0,1
1.0,0.65,1.0,1
1.0,0.69,1.0,1
1.0,0.58,1.0,1
1.0,0.57,1.0,1
0.0,0.35,0.0,1
0.0,0.75,1.0,1
1.0,0.26,0.0,1
0.0,0.5,0.0,1
1.0,0.655,1.0,1
0.0,0.33,0.0,1
1.0,0.56,1.0,1
1.0,0.33,0.0,1
1.0,0.83,1.0,1
1.0,0.6,1.0,1
1.0,0.5,0.0,1
0.0,0.88,1.0,1
1.0,0.4,0.0,1
0.0,0.7,1.0,1
1.0,0.53,1.0,1
0.0,0.54,1.0,1
1.0,0.84,1.0,1
