churn_at_dt,churn probability,prediction,employee_cluster
1.0,0.17,0.0,7
1.0,0.15,0.0,7
1.0,0.61,1.0,7
0.0,0.51,1.0,7
1.0,0.73,1.0,7
0.0,0.63,1.0,7
0.0,0.6817272727272728,1.0,7
0.0,0.43,0.0,7
1.0,0.58,1.0,7
0.0,0.1625,0.0,7
1.0,0.665,1.0,7
0.0,0.54,1.0,7
1.0,0.92,1.0,7
1.0,0.57,1.0,7
0.0,0.65,1.0,7
0.0,0.47529240204240186,0.0,7
1.0,0.49,0.0,7
0.0,0.7218924762887611,1.0,7
1.0,0.59,1.0,7
0.0,0.87,1.0,7
1.0,0.88,1.0,7
1.0,0.74,1.0,7
0.0,0.77,1.0,7
0.0,0.5970753968253968,1.0,7
0.0,0.35,0.0,7
1.0,0.95,1.0,7
0.0,0.7995213397713395,1.0,7
1.0,0.93,1.0,7
1.0,0.91,1.0,7
0.0,0.45,0.0,7
1.0,0.22,0.0,7
1.0,0.17,0.0,7
0.0,0.61,1.0,7
1.0,0.45,0.0,7
1.0,0.58,1.0,7
1.0,0.33,0.0,7
0.0,0.38,0.0,7
1.0,0.18,0.0,7
0.0,0.66,1.0,7
1.0,0.46,0.0,7
1.0,0.35,0.0,7
0.0,0.58,1.0,7
0.0,0.23,0.0,7
1.0,0.83,1.0,7
0.0,0.61,1.0,7
1.0,0.67,1.0,7
1.0,0.8,1.0,7
1.0,0.73,1.0,7
0.0,0.22,0.0,7
1.0,0.56,1.0,7
0.0,0.51,1.0,7
1.0,0.5116666666666666,1.0,7
0.0,0.49,0.0,7
0.0,0.47,0.0,7
0.0,0.67,1.0,7
0.0,0.8182777777777777,1.0,7
0.0,0.45,0.0,7
1.0,0.68,1.0,7
1.0,0.92,1.0,7
0.0,0.2873630650395356,0.0,7
0.0,0.15,0.0,7
1.0,0.55,1.0,7
0.0,0.34488492063492054,0.0,7
0.0,0.33,0.0,7
1.0,0.42,0.0,7
1.0,0.57,1.0,7
1.0,0.41,0.0,7
0.0,0.9593333333333334,1.0,7
1.0,0.68,1.0,7
0.0,0.76,1.0,7
1.0,0.59,1.0,7
1.0,0.51,1.0,7
0.0,0.37,0.0,7
0.0,0.24,0.0,7
1.0,0.07,0.0,7
0.0,0.81,1.0,7
1.0,0.83,1.0,7
0.0,0.44,0.0,7
1.0,0.3465942490041627,0.0,7
0.0,0.52,1.0,7
0.0,0.28,0.0,7
0.0,0.86,1.0,7
1.0,0.45,0.0,7
1.0,0.55,1.0,7
1.0,0.30266666666666664,0.0,7
1.0,0.25,0.0,7
1.0,0.43,0.0,7
0.0,0.21,0.0,7
1.0,0.47,0.0,7
1.0,0.84,1.0,7
1.0,0.84775,1.0,7
0.0,0.8325,1.0,7
0.0,0.35,0.0,7
0.0,0.4,0.0,7
1.0,0.6335007215007215,1.0,7
1.0,0.69,1.0,7
1.0,0.87,1.0,7
0.0,0.17,0.0,7
1.0,0.86,1.0,7
0.0,0.33,0.0,7
0.0,0.31,0.0,7
0.0,0.48375,0.0,7
0.0,0.98,1.0,7
1.0,0.76,1.0,7
1.0,0.35,0.0,7
0.0,0.44,0.0,7
1.0,0.82,1.0,7
1.0,0.67,1.0,7
1.0,0.79,1.0,7
1.0,0.65,1.0,7
1.0,0.78,1.0,7
0.0,0.29,0.0,7
0.0,0.48,0.0,7
0.0,0.44,0.0,7
0.0,0.33,0.0,7
1.0,0.39,0.0,7
1.0,0.44,0.0,7
0.0,0.6,1.0,7
1.0,0.1,0.0,7
0.0,0.7269458874458873,1.0,7
1.0,0.4228698606511569,0.0,7
0.0,0.56,1.0,7
1.0,0.62,1.0,7
0.0,0.21,0.0,7
1.0,0.30040318840291474,0.0,7
1.0,0.89,1.0,7
1.0,0.81,1.0,7
0.0,0.43,0.0,7
0.0,0.53,1.0,7
1.0,0.48,0.0,7
1.0,0.1994047619047619,0.0,7
1.0,0.75,1.0,7
0.0,0.7,1.0,7
0.0,0.66,1.0,7
1.0,0.42,0.0,7
1.0,0.92,1.0,7
1.0,0.59,1.0,7
0.0,0.03535714285714286,0.0,7
0.0,0.64,1.0,7
1.0,0.21,0.0,7
1.0,0.89,1.0,7
0.0,0.2675,0.0,7
0.0,0.69,1.0,7
1.0,0.6828571428571428,1.0,7
0.0,0.47,0.0,7
0.0,0.19,0.0,7
1.0,0.29,0.0,7
1.0,0.3,0.0,7
1.0,0.35986292156416,0.0,7
0.0,0.65,1.0,7
1.0,0.74,1.0,7
0.0,0.39,0.0,7
1.0,0.7,1.0,7
0.0,0.5525,1.0,7
1.0,0.58,1.0,7
0.0,0.51,1.0,7
1.0,0.54,1.0,7
0.0,0.45,0.0,7
0.0,0.02384149184149184,0.0,7
0.0,0.31438095238095237,0.0,7
1.0,0.48,0.0,7
1.0,0.08,0.0,7
0.0,0.39,0.0,7
1.0,0.72,1.0,7
0.0,0.4255357142857143,0.0,7
1.0,0.56,1.0,7
1.0,0.6,1.0,7
0.0,0.9577272727272726,1.0,7
1.0,0.52,1.0,7
0.0,0.7,1.0,7
