churn_at_dt,churn probability,prediction,employee_cluster
1.0,0.88,1.0,3
0.0,0.97,1.0,3
1.0,0.73,1.0,3
0.0,0.55,1.0,3
1.0,0.17,0.0,3
1.0,0.77,1.0,3
0.0,0.75,1.0,3
1.0,0.57,1.0,3
0.0,0.63,1.0,3
0.0,0.69,1.0,3
0.0,0.5361620526875945,1.0,3
1.0,0.49576190476190474,0.0,3
0.0,0.88,1.0,3
1.0,0.68,1.0,3
0.0,0.7961941485911974,1.0,3
1.0,0.8996362387612387,1.0,3
1.0,0.75,1.0,3
1.0,0.88,1.0,3
1.0,0.98,1.0,3
0.0,0.31,0.0,3
0.0,0.32,0.0,3
0.0,0.32,0.0,3
0.0,0.47,0.0,3
1.0,0.7,1.0,3
1.0,0.47,0.0,3
0.0,0.73,1.0,3
1.0,0.89,1.0,3
1.0,0.82,1.0,3
1.0,0.51,1.0,3
1.0,0.7244375640699168,1.0,3
0.0,0.83,1.0,3
1.0,0.59,1.0,3
1.0,0.7175,1.0,3
0.0,0.67,1.0,3
1.0,0.6620992063492059,1.0,3
1.0,0.93,1.0,3
0.0,0.35,0.0,3
1.0,0.76,1.0,3
0.0,0.43,0.0,3
1.0,0.29,0.0,3
0.0,0.73,1.0,3
1.0,0.93,1.0,3
1.0,0.83,1.0,3
0.0,0.65,1.0,3
1.0,0.89,1.0,3
0.0,0.75,1.0,3
1.0,0.95,1.0,3
1.0,0.9892307692307692,1.0,3
1.0,0.92,1.0,3
1.0,0.7,1.0,3
0.0,0.3,0.0,3
1.0,0.97,1.0,3
1.0,0.94,1.0,3
0.0,0.62,1.0,3
1.0,0.78,1.0,3
1.0,0.5174158407382091,1.0,3
1.0,0.73,1.0,3
1.0,0.56,1.0,3
1.0,0.73,1.0,3
1.0,0.76,1.0,3
1.0,0.7221666666666668,1.0,3
0.0,0.68,1.0,3
0.0,0.68,1.0,3
0.0,0.8556570512820509,1.0,3
1.0,0.77,1.0,3
0.0,0.43,0.0,3
0.0,0.33,0.0,3
0.0,0.25,0.0,3
1.0,0.89,1.0,3
1.0,0.49,0.0,3
0.0,0.49,0.0,3
1.0,0.81,1.0,3
0.0,0.91,1.0,3
1.0,0.11866666666666667,0.0,3
0.0,0.86,1.0,3
1.0,0.7491666666666665,1.0,3
0.0,0.65,1.0,3
0.0,0.36,0.0,3
0.0,0.7961941485911974,1.0,3
1.0,0.48,0.0,3
0.0,0.57,1.0,3
1.0,0.69,1.0,3
1.0,0.78,1.0,3
1.0,0.51,1.0,3
1.0,0.57,1.0,3
1.0,0.7,1.0,3
0.0,0.86,1.0,3
1.0,0.44,0.0,3
1.0,0.88,1.0,3
0.0,0.68,1.0,3
1.0,0.39,0.0,3
1.0,0.62,1.0,3
1.0,0.72,1.0,3
1.0,0.47,0.0,3
1.0,0.73,1.0,3
0.0,0.23,0.0,3
1.0,0.61,1.0,3
1.0,0.79,1.0,3
0.0,0.82,1.0,3
0.0,0.84,1.0,3
1.0,0.73,1.0,3
1.0,0.84,1.0,3
1.0,0.67,1.0,3
1.0,0.75,1.0,3
1.0,0.87,1.0,3
1.0,0.92,1.0,3
1.0,0.76,1.0,3
1.0,0.5830952380952381,1.0,3
1.0,0.91,1.0,3
1.0,0.43,0.0,3
1.0,0.4436775446775447,0.0,3
1.0,0.85,1.0,3
0.0,0.20121428571428573,0.0,3
1.0,0.49,0.0,3
1.0,0.78,1.0,3
0.0,0.79,1.0,3
1.0,0.7,1.0,3
1.0,0.6376642467244197,1.0,3
1.0,0.37,0.0,3
0.0,0.5579999999999999,1.0,3
0.0,0.54,1.0,3
0.0,0.68,1.0,3
1.0,0.73,1.0,3
1.0,0.92,1.0,3
1.0,0.8,1.0,3
0.0,0.150508658008658,0.0,3
0.0,0.462,0.0,3
1.0,0.82,1.0,3
1.0,0.69,1.0,3
1.0,0.79,1.0,3
1.0,0.25,0.0,3
0.0,0.65,1.0,3
1.0,0.79,1.0,3
0.0,0.79,1.0,3
1.0,0.72,1.0,3
0.0,0.61,1.0,3
1.0,0.62,1.0,3
1.0,0.76,1.0,3
0.0,0.64,1.0,3
1.0,0.5541666666666667,1.0,3
1.0,0.59,1.0,3
1.0,0.98,1.0,3
1.0,0.98,1.0,3
0.0,0.55,1.0,3
1.0,0.6,1.0,3
0.0,0.65,1.0,3
0.0,0.24,0.0,3
0.0,0.6658611111111109,1.0,3
1.0,0.6835000311862296,1.0,3
0.0,0.48,0.0,3
1.0,0.82,1.0,3
0.0,0.35,0.0,3
1.0,0.37,0.0,3
1.0,0.26,0.0,3
0.0,0.57,1.0,3
1.0,0.88,1.0,3
0.0,0.61,1.0,3
1.0,0.35,0.0,3
0.0,0.8183333333333335,1.0,3
0.0,0.7853705512790852,1.0,3
1.0,0.98,1.0,3
0.0,0.49833333333333335,0.0,3
1.0,0.76,1.0,3
0.0,0.76,1.0,3
1.0,0.88,1.0,3
1.0,1.0,1.0,3
1.0,0.62,1.0,3
1.0,0.57,1.0,3
1.0,0.53,1.0,3
1.0,0.71,1.0,3
1.0,0.47,0.0,3
1.0,0.5541666666666667,1.0,3
0.0,0.76,1.0,3
0.0,0.8,1.0,3
1.0,0.77,1.0,3
1.0,0.95,1.0,3
0.0,0.29,0.0,3
1.0,0.64,1.0,3
1.0,0.61,1.0,3
1.0,0.77,1.0,3
1.0,0.95,1.0,3
1.0,0.92,1.0,3
0.0,0.6933333333333335,1.0,3
1.0,0.81,1.0,3
0.0,0.66,1.0,3
0.0,0.72,1.0,3
0.0,0.83,1.0,3
1.0,0.57,1.0,3
0.0,0.79,1.0,3
1.0,0.82,1.0,3
1.0,0.5126666666666666,1.0,3
1.0,0.69,1.0,3
1.0,0.61,1.0,3
0.0,0.73,1.0,3
1.0,0.51,1.0,3
1.0,0.3116666666666667,0.0,3
0.0,0.51,1.0,3
1.0,0.77,1.0,3
1.0,0.63,1.0,3
1.0,0.68,1.0,3
0.0,0.3915993450993451,0.0,3
1.0,0.91,1.0,3
0.0,0.3816666666666667,0.0,3
0.0,0.7458119658119656,1.0,3
1.0,0.6239047619047619,1.0,3
0.0,0.3,0.0,3
0.0,0.6,1.0,3
1.0,0.81,1.0,3
1.0,0.86,1.0,3
0.0,0.6,1.0,3
0.0,0.81,1.0,3
0.0,0.45,0.0,3
1.0,0.84,1.0,3
0.0,0.18,0.0,3
1.0,0.74,1.0,3
1.0,0.68,1.0,3
0.0,0.4675,0.0,3
0.0,0.52,1.0,3
1.0,0.66,1.0,3
0.0,0.71,1.0,3
0.0,0.88,1.0,3
0.0,0.552479797979798,1.0,3
1.0,0.66,1.0,3
1.0,0.57,1.0,3
1.0,0.68,1.0,3
1.0,0.12,0.0,3
1.0,0.87,1.0,3
