churn_at_dt,churn probability,prediction,employee_cluster
1.0,0.2,0.0,7
1.0,0.39,0.0,7
1.0,0.81,1.0,7
0.0,0.68,1.0,7
1.0,0.68,1.0,7
0.0,0.69,1.0,7
0.0,0.823095238095238,1.0,7
0.0,0.42,0.0,7
1.0,0.68,1.0,7
0.0,0.815,1.0,7
1.0,0.9259999999999999,1.0,7
0.0,0.63,1.0,7
1.0,0.94,1.0,7
1.0,0.66,1.0,7
0.0,0.66,1.0,7
1.0,0.6709595959595959,1.0,7
1.0,0.42,0.0,7
0.0,0.662432615629984,1.0,7
1.0,0.7,1.0,7
0.0,0.84,1.0,7
1.0,0.91,1.0,7
1.0,0.75,1.0,7
1.0,0.94,1.0,7
0.0,0.647265873015873,1.0,7
0.0,0.27,0.0,7
1.0,0.94,1.0,7
0.0,0.8220782828282824,1.0,7
1.0,0.97,1.0,7
1.0,0.94,1.0,7
0.0,0.56,1.0,7
1.0,0.23,0.0,7
1.0,0.31,0.0,7
0.0,0.63,1.0,7
1.0,0.41,0.0,7
1.0,0.71,1.0,7
1.0,0.37,0.0,7
0.0,0.44,0.0,7
1.0,0.37,0.0,7
0.0,0.7233333333333334,1.0,7
1.0,0.48,0.0,7
1.0,0.31,0.0,7
1.0,0.66,1.0,7
0.0,0.59,1.0,7
1.0,0.79,1.0,7
0.0,0.81,1.0,7
1.0,0.7,1.0,7
1.0,0.92,1.0,7
1.0,0.82,1.0,7
0.0,0.23,0.0,7
1.0,0.6,1.0,7
1.0,0.78,1.0,7
1.0,0.6569230769230769,1.0,7
0.0,0.66,1.0,7
1.0,0.66,1.0,7
0.0,0.75,1.0,7
0.0,0.8665555555555555,1.0,7
0.0,0.46,0.0,7
1.0,0.66,1.0,7
1.0,0.85,1.0,7
0.0,0.33723514230867174,0.0,7
0.0,0.26,0.0,7
1.0,0.55,1.0,7
1.0,0.3190786435786434,0.0,7
0.0,0.47,0.0,7
1.0,0.41,0.0,7
1.0,0.7,1.0,7
1.0,0.53,1.0,7
0.0,0.996,1.0,7
1.0,0.75,1.0,7
0.0,0.87,1.0,7
1.0,0.65,1.0,7
1.0,0.65,1.0,7
0.0,0.62,1.0,7
0.0,0.39,0.0,7
1.0,0.3,0.0,7
1.0,0.81,1.0,7
1.0,0.83,1.0,7
0.0,0.53,1.0,7
1.0,0.5363299132400932,1.0,7
0.0,0.61,1.0,7
0.0,0.6058333333333334,1.0,7
1.0,0.95,1.0,7
1.0,0.54,1.0,7
1.0,0.51,1.0,7
1.0,0.2758809523809524,0.0,7
1.0,0.92,1.0,7
1.0,0.74,1.0,7
0.0,0.17,0.0,7
1.0,0.61,1.0,7
1.0,0.86,1.0,7
1.0,0.9320714285714286,1.0,7
0.0,0.83,1.0,7
0.0,0.42,0.0,7
0.0,0.51,1.0,7
1.0,0.7983225385725384,1.0,7
1.0,0.85,1.0,7
1.0,0.89,1.0,7
0.0,0.25,0.0,7
1.0,0.91,1.0,7
0.0,0.42,0.0,7
0.0,0.5,0.0,7
0.0,0.41,0.0,7
1.0,0.98,1.0,7
1.0,0.83,1.0,7
1.0,0.37,0.0,7
1.0,0.6,1.0,7
1.0,0.91,1.0,7
1.0,0.86,1.0,7
1.0,0.77,1.0,7
1.0,0.6,1.0,7
1.0,0.86,1.0,7
0.0,0.33,0.0,7
0.0,0.62,1.0,7
0.0,0.41,0.0,7
0.0,0.45,0.0,7
1.0,0.33,0.0,7
1.0,0.61,1.0,7
1.0,0.66,1.0,7
1.0,0.23,0.0,7
1.0,0.7124285714285713,1.0,7
1.0,0.4249741338382977,0.0,7
0.0,0.64,1.0,7
1.0,0.71,1.0,7
0.0,0.3,0.0,7
1.0,0.5138068210565553,1.0,7
1.0,0.92,1.0,7
1.0,0.87,1.0,7
0.0,0.43,0.0,7
0.0,0.51,1.0,7
1.0,0.46,0.0,7
1.0,0.18716666666666668,0.0,7
1.0,0.87,1.0,7
0.0,0.97,1.0,7
0.0,0.59,1.0,7
1.0,0.59,1.0,7
1.0,0.98,1.0,7
1.0,0.63,1.0,7
0.0,0.0810873015873016,0.0,7
0.0,0.69,1.0,7
1.0,0.55,1.0,7
1.0,0.97,1.0,7
1.0,0.23550000000000001,0.0,7
0.0,0.79,1.0,7
1.0,0.87,1.0,7
1.0,0.8,1.0,7
0.0,0.34,0.0,7
1.0,0.58,1.0,7
1.0,0.54,1.0,7
1.0,0.5095559203868028,1.0,7
0.0,0.86,1.0,7
1.0,0.91,1.0,7
0.0,0.47,0.0,7
1.0,0.72,1.0,7
0.0,0.6906414141414142,1.0,7
1.0,0.71,1.0,7
0.0,0.59,1.0,7
1.0,0.63,1.0,7
0.0,0.48,0.0,7
0.0,0.02292207792207792,0.0,7
0.0,0.357095238095238,0.0,7
1.0,0.43,0.0,7
1.0,0.21,0.0,7
