churn_at_dt,churn probability,prediction,employee_cluster
0.0,0.51,1.0,3
0.0,0.84,1.0,3
0.0,0.64,1.0,3
0.0,0.56,1.0,3
0.0,0.21,0.0,3
1.0,0.65,1.0,3
0.0,0.68,1.0,3
0.0,0.49,0.0,3
0.0,0.27,0.0,3
0.0,0.66,1.0,3
0.0,0.3975468380069201,0.0,3
1.0,0.3388787878787879,0.0,3
0.0,0.54,1.0,3
1.0,0.45,0.0,3
0.0,0.5140386091066768,1.0,3
1.0,0.6645462315462316,1.0,3
0.0,0.37,0.0,3
1.0,0.78,1.0,3
1.0,0.88,1.0,3
0.0,0.21,0.0,3
0.0,0.31,0.0,3
0.0,0.25,0.0,3
0.0,0.51,1.0,3
0.0,0.54,1.0,3
1.0,0.36,0.0,3
0.0,0.41,0.0,3
1.0,0.76,1.0,3
1.0,0.71,1.0,3
1.0,0.19,0.0,3
0.0,0.46741536241536236,0.0,3
0.0,0.58,1.0,3
1.0,0.47,0.0,3
1.0,0.5,0.0,3
0.0,0.59,1.0,3
1.0,0.3746904761904763,0.0,3
1.0,0.79,1.0,3
0.0,0.3,0.0,3
1.0,0.31,0.0,3
0.0,0.27,0.0,3
0.0,0.24,0.0,3
0.0,0.53,1.0,3
1.0,0.79,1.0,3
0.0,0.65,1.0,3
0.0,0.46,0.0,3
0.0,0.26,0.0,3
0.0,0.53,1.0,3
0.0,0.5,0.0,3
0.0,0.9816666666666666,1.0,3
1.0,0.84,1.0,3
1.0,0.46,0.0,3
0.0,0.34,0.0,3
0.0,0.58,1.0,3
0.0,0.91,1.0,3
0.0,0.41,0.0,3
1.0,0.46,0.0,3
1.0,0.49727331002331,0.0,3
1.0,0.58,1.0,3
1.0,0.46,0.0,3
1.0,0.58,1.0,3
1.0,0.36,0.0,3
1.0,0.179,0.0,3
0.0,0.21,0.0,3
0.0,0.17,0.0,3
0.0,0.7770913253413252,1.0,3
0.0,0.65,1.0,3
0.0,0.244,0.0,3
0.0,0.13,0.0,3
0.0,0.07,0.0,3
1.0,0.79,1.0,3
1.0,0.63,1.0,3
0.0,0.136,0.0,3
0.0,0.61,1.0,3
0.0,0.48,0.0,3
1.0,0.07,0.0,3
0.0,0.74,1.0,3
0.0,0.47,0.0,3
0.0,0.29,0.0,3
0.0,0.24,0.0,3
0.0,0.5140386091066768,1.0,3
1.0,0.43,0.0,3
0.0,0.17,0.0,3
0.0,0.33,0.0,3
0.0,0.35,0.0,3
0.0,0.35,0.0,3
1.0,0.43,0.0,3
1.0,0.62,1.0,3
0.0,0.62,1.0,3
1.0,0.3883333333333333,0.0,3
1.0,0.71,1.0,3
0.0,0.58,1.0,3
0.0,0.34,0.0,3
1.0,0.36,0.0,3
1.0,0.62,1.0,3
0.0,0.26,0.0,3
1.0,0.62,1.0,3
0.0,0.09,0.0,3
0.0,0.49566666666666664,0.0,3
1.0,0.66,1.0,3
0.0,0.48,0.0,3
0.0,0.51,1.0,3
1.0,0.7,1.0,3
1.0,0.68,1.0,3
0.0,0.59,1.0,3
1.0,0.43799999999999994,0.0,3
1.0,0.74,1.0,3
0.0,0.5,0.0,3
1.0,0.58,1.0,3
1.0,0.5806666666666667,1.0,3
1.0,0.61,1.0,3
1.0,0.22,0.0,3
1.0,0.21331457431457426,0.0,3
1.0,0.81,1.0,3
0.0,0.15833333333333333,0.0,3
1.0,0.38,0.0,3
1.0,0.59,1.0,3
0.0,0.4,0.0,3
0.0,0.3,0.0,3
0.0,0.3415513385729597,0.0,3
0.0,0.23,0.0,3
0.0,0.6841666666666666,1.0,3
0.0,0.46,0.0,3
0.0,0.34,0.0,3
0.0,0.15,0.0,3
1.0,0.58,1.0,3
1.0,0.52,1.0,3
0.0,0.15504545454545454,0.0,3
0.0,0.25666666666666665,0.0,3
1.0,0.62,1.0,3
1.0,0.58,1.0,3
1.0,0.42,0.0,3
1.0,0.17,0.0,3
0.0,0.42,0.0,3
0.0,0.6,1.0,3
0.0,0.5,0.0,3
0.0,0.51,1.0,3
0.0,0.26,0.0,3
1.0,0.44,0.0,3
1.0,0.5,0.0,3
0.0,0.41,0.0,3
1.0,0.4516666666666667,0.0,3
0.0,0.34,0.0,3
0.0,0.79,1.0,3
0.0,0.58,1.0,3
0.0,0.38,0.0,3
1.0,0.49,0.0,3
0.0,0.35,0.0,3
0.0,0.24,0.0,3
0.0,0.6501587301587298,1.0,3
1.0,0.41257280574259475,0.0,3
0.0,0.56,1.0,3
1.0,0.69,1.0,3
0.0,0.2,0.0,3
1.0,0.29,0.0,3
1.0,0.27,0.0,3
0.0,0.55,1.0,3
1.0,0.68,1.0,3
0.0,0.46,0.0,3
0.0,0.24,0.0,3
0.0,0.1285,0.0,3
0.0,0.37279158878355617,0.0,3
1.0,0.41,0.0,3
0.0,0.4386666666666666,0.0,3
1.0,0.66,1.0,3
0.0,0.30125,0.0,3
1.0,0.51,1.0,3
1.0,0.4824662539902477,0.0,3
1.0,0.52,1.0,3
0.0,0.29,0.0,3
1.0,0.23,0.0,3
0.0,0.55,1.0,3
1.0,0.38,0.0,3
1.0,0.4516666666666667,0.0,3
0.0,0.51,1.0,3
0.0,0.64,1.0,3
0.0,0.46,0.0,3
1.0,0.59,1.0,3
0.0,0.37,0.0,3
1.0,0.47,0.0,3
1.0,0.63,1.0,3
1.0,0.57,1.0,3
0.0,0.65,1.0,3
0.0,0.9,1.0,3
0.0,0.4606666666666667,0.0,3
0.0,0.46,0.0,3
0.0,0.42,0.0,3
0.0,0.48,0.0,3
0.0,0.64,1.0,3
0.0,0.24,0.0,3
0.0,0.77,1.0,3
1.0,0.61,1.0,3
1.0,0.3779999999999999,0.0,3
1.0,0.55,1.0,3
1.0,0.47,0.0,3
0.0,0.6,1.0,3
1.0,0.48666666666666664,0.0,3
0.0,0.2333333333333333,0.0,3
0.0,0.44,0.0,3
1.0,0.56,1.0,3
1.0,0.48,0.0,3
0.0,0.35,0.0,3
0.0,0.2540483405483406,0.0,3
0.0,0.69,1.0,3
0.0,0.30666666666666664,0.0,3
0.0,0.29373015873015873,0.0,3
0.0,0.3901428571428571,0.0,3
0.0,0.12,0.0,3
0.0,0.47700000000000004,0.0,3
0.0,0.26,0.0,3
1.0,0.39,0.0,3
0.0,0.36,0.0,3
0.0,0.45,0.0,3
0.0,0.15,0.0,3
0.0,0.91,1.0,3
0.0,0.11,0.0,3
1.0,0.8,1.0,3
0.0,0.53,1.0,3
0.0,0.33,0.0,3
0.0,0.37,0.0,3
1.0,0.41,0.0,3
0.0,0.6,1.0,3
0.0,0.68,1.0,3
0.0,0.3744282661782662,0.0,3
1.0,0.63,1.0,3
1.0,0.5,0.0,3
1.0,0.18,0.0,3
